text	curie	name	predicate	source
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
mir-17	mirbase.family:MIPF0000001	mir-17	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
let-7	mirbase.family:MIPF0000002	let-7	rdfs:label	mirbase.family
